                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 2.4706,                 1.9253,                 2.1693,                0.65547,                0.45309,                0.46083,                0.28714,                 3.3179,                 2.5355,                 2.4579,             0.00025309,             0.00025309,             0.00025309
                    119,                  2.508,                 1.9272,                 2.1764,                0.64839,                0.48266,                0.44961,                0.27935,                 3.2727,                 2.5481,                 2.4181,             0.00024575,             0.00024575,             0.00024575
                    120,                 2.5137,                  1.956,                 2.1636,                0.66819,                0.49163,                0.48382,                0.29786,                  3.278,                 2.5225,                 2.4354,             0.00023842,             0.00023842,             0.00023842
                    121,                 2.5204,                 1.9404,                 2.1513,                 0.6359,                0.51186,                0.45732,                0.28683,                 3.2903,                 2.5199,                 2.4503,             0.00023109,             0.00023109,             0.00023109
                    122,                 2.4682,                 1.9363,                 2.1677,                0.70115,                0.46435,                0.47004,                0.29361,                 3.2322,                 2.5312,                 2.4193,             0.00022376,             0.00022376,             0.00022376
                    123,                 2.4914,                 1.9066,                 2.1608,                0.66163,                0.46572,                0.43833,                 0.2801,                 3.2763,                 2.5143,                 2.4204,             0.00021642,             0.00021642,             0.00021642
                    124,                 2.4877,                 1.9134,                 2.1479,                0.65095,                0.49033,                0.46211,                0.29082,                 3.2601,                 2.5411,                 2.4209,             0.00020909,             0.00020909,             0.00020909
                    125,                  2.462,                 1.9207,                 2.1502,                0.65628,                0.49408,                0.46701,                0.29876,                 3.2589,                  2.525,                 2.4018,             0.00020176,             0.00020176,             0.00020176
                    126,                 2.4643,                 1.9405,                 2.1268,                0.66283,                0.49001,                0.45431,                0.28673,                 3.2508,                 2.5204,                 2.4312,             0.00019442,             0.00019442,             0.00019442
                    127,                 2.4702,                 1.9244,                 2.1524,                 0.6633,                0.50649,                0.46251,                0.29289,                  3.258,                 2.4979,                 2.4039,             0.00018709,             0.00018709,             0.00018709
                    128,                 2.4866,                 1.9093,                 2.1508,                0.61536,                0.46931,                0.44205,                0.28262,                 3.2232,                 2.5937,                 2.4066,             0.00017976,             0.00017976,             0.00017976
                    129,                   2.45,                 1.9042,                 2.1379,                0.63191,                0.49192,                0.44283,                0.28132,                 3.2603,                 2.5091,                 2.4318,             0.00017243,             0.00017243,             0.00017243
                    130,                 2.4373,                 1.9254,                 2.1339,                0.67444,                0.50024,                0.46258,                0.29372,                 3.2509,                  2.509,                 2.4235,             0.00016509,             0.00016509,             0.00016509
                    131,                 2.4695,                 1.9109,                 2.1539,                0.69018,                0.48343,                0.45736,                 0.2821,                 3.2959,                 2.5306,                 2.4313,             0.00015776,             0.00015776,             0.00015776
                    132,                 2.4692,                 1.9108,                 2.1224,                0.63572,                0.49749,                 0.4547,                 0.2865,                   3.23,                 2.5199,                 2.4156,             0.00015043,             0.00015043,             0.00015043
                    133,                 2.3966,                  1.884,                 2.1403,                0.67617,                0.49212,                 0.4679,                 0.2889,                 3.2513,                 2.5087,                 2.4064,              0.0001431,              0.0001431,              0.0001431
                    134,                 2.4361,                 1.8709,                 2.1399,                0.64416,                0.48315,                0.45013,                0.28414,                  3.271,                 2.5338,                 2.4226,             0.00013576,             0.00013576,             0.00013576
                    135,                 2.3994,                 1.8662,                 2.1344,                0.67458,                0.50017,                 0.4736,                0.28839,                 3.2699,                 2.5126,                  2.447,             0.00012843,             0.00012843,             0.00012843
