                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.88205,                 0.6729,                 1.0979,                0.49767,                0.46433,                0.48082,                0.29281,                 1.2954,                0.91246,                 1.2455,             0.00031908,             0.00031908,             0.00031908
                    110,                 0.9206,                0.70162,                 1.1114,                0.50716,                 0.4961,                0.49396,                0.29283,                 1.3254,                0.92342,                 1.2612,             0.00031175,             0.00031175,             0.00031175
                    111,                0.90897,                0.68617,                 1.1103,                0.68248,                0.45232,                0.46094,                0.29098,                 1.3324,                0.96187,                 1.2509,             0.00030441,             0.00030441,             0.00030441
                    112,                0.88236,                0.68005,                 1.1008,                0.64053,                0.50238,                 0.4533,                0.26998,                 1.3311,                0.94116,                 1.2618,             0.00029708,             0.00029708,             0.00029708
                    113,                0.89549,                0.67671,                 1.0989,                 0.7044,                 0.4662,                0.47442,                0.29023,                 1.3446,                0.93106,                 1.2597,             0.00028975,             0.00028975,             0.00028975
                    114,                0.87523,                0.66523,                 1.0861,                0.70932,                0.46815,                0.48054,                0.29026,                 1.3008,                0.89284,                 1.2398,             0.00028242,             0.00028242,             0.00028242
                    115,                 0.9067,                0.68102,                 1.0995,                0.64224,                0.52289,                0.48164,                0.28984,                 1.3133,                  0.929,                 1.2532,             0.00027508,             0.00027508,             0.00027508
                    116,                0.88424,                0.66162,                 1.0963,                0.66021,                0.49592,                0.46312,                0.28641,                 1.3475,                0.96079,                 1.2687,             0.00026775,             0.00026775,             0.00026775
                    117,                0.86039,                0.64859,                 1.0851,                0.69384,                0.46556,                0.45523,                0.28623,                 1.3106,                 0.9318,                 1.2618,             0.00026042,             0.00026042,             0.00026042
                    118,                0.86774,                0.65184,                 1.0889,                0.53703,                 0.4928,                0.47626,                0.29895,                 1.3056,                0.89328,                 1.2497,             0.00025309,             0.00025309,             0.00025309
                    119,                0.89032,                0.67031,                 1.0956,                 0.6543,                0.46125,                0.46034,                 0.2888,                 1.3037,                0.91622,                 1.2475,             0.00024575,             0.00024575,             0.00024575
                    120,                0.86125,                0.66174,                 1.0815,                0.49888,                0.50154,                0.48797,                0.29354,                 1.2932,                0.90224,                 1.2469,             0.00023842,             0.00023842,             0.00023842
                    121,                0.87938,                0.65809,                 1.0865,                0.70851,                0.49959,                 0.4946,                 0.2881,                 1.3064,                0.93571,                  1.244,             0.00023109,             0.00023109,             0.00023109
                    122,                0.86504,                0.66124,                 1.0943,                0.71948,                0.49017,                0.49717,                0.30079,                 1.2827,                0.89176,                 1.2382,             0.00022376,             0.00022376,             0.00022376
                    123,                0.85402,                0.63849,                 1.0873,                0.68693,                0.50897,                0.48328,                0.27777,                  1.317,                0.93612,                 1.2575,             0.00021642,             0.00021642,             0.00021642
                    124,                0.86778,                0.65223,                 1.0875,                0.74244,                0.47003,                0.48676,                0.29601,                 1.3177,                0.91508,                 1.2684,             0.00020909,             0.00020909,             0.00020909
                    125,                 0.8776,                0.65636,                 1.0864,                0.73001,                0.46999,                0.48229,                0.29411,                 1.3208,                0.90617,                 1.2594,             0.00020176,             0.00020176,             0.00020176
                    126,                0.84914,                0.64213,                 1.0844,                0.65633,                0.52829,                0.50217,                0.28881,                 1.3161,                0.90702,                 1.2549,             0.00019442,             0.00019442,             0.00019442
                    127,                0.86537,                0.64793,                 1.0809,                0.71593,                 0.4781,                0.49548,                0.29651,                 1.3023,                0.90654,                 1.2476,             0.00018709,             0.00018709,             0.00018709
                    128,                0.86031,                0.63674,                 1.0825,                0.73056,                0.48243,                0.49363,                0.30107,                 1.3206,                0.90784,                 1.2498,             0.00017976,             0.00017976,             0.00017976
                    129,                0.87695,                0.64421,                 1.0845,                0.71245,                  0.494,                0.49055,                0.29459,                  1.333,                0.90644,                 1.2646,             0.00017243,             0.00017243,             0.00017243
                    130,                0.85241,                0.63714,                 1.0697,                0.70801,                 0.5095,                0.50078,                0.29902,                 1.2974,                0.90583,                 1.2373,             0.00016509,             0.00016509,             0.00016509
                    131,                 0.8367,                0.62506,                 1.0779,                0.69753,                0.50572,                0.49999,                0.29696,                 1.3331,                0.89711,                 1.2588,             0.00015776,             0.00015776,             0.00015776
                    132,                0.85565,                 0.6501,                 1.0732,                 0.7193,                0.50607,                 0.4955,                0.29738,                 1.3275,                 0.9275,                 1.2518,             0.00015043,             0.00015043,             0.00015043
                    133,                 0.8685,                0.64162,                  1.073,                0.68806,                0.49362,                0.47832,                0.29467,                 1.3216,                0.92555,                 1.2621,              0.0001431,              0.0001431,              0.0001431
                    134,                0.87435,                0.65487,                 1.0862,                0.64892,                0.54001,                0.48984,                0.30792,                 1.3083,                0.90059,                 1.2461,             0.00013576,             0.00013576,             0.00013576
                    135,                0.85681,                0.64626,                 1.0723,                0.69115,                0.49653,                0.47377,                0.29667,                 1.3316,                0.91485,                 1.2627,             0.00012843,             0.00012843,             0.00012843
                    136,                0.82763,                0.62389,                 1.0656,                0.68049,                0.52261,                0.49106,                0.30101,                 1.3144,                0.90097,                 1.2493,              0.0001211,              0.0001211,              0.0001211
                    137,                0.86695,                0.64548,                 1.0805,                0.72011,                0.51289,                0.50826,                 0.3079,                 1.3139,                0.89809,                 1.2537,             0.00011377,             0.00011377,             0.00011377
                    138,                0.83557,                0.63941,                 1.0691,                 0.7408,                0.49358,                0.51143,                0.30615,                 1.3233,                0.89173,                 1.2573,             0.00010643,             0.00010643,             0.00010643
                    139,                0.83235,                0.61867,                 1.0595,                0.71117,                0.50751,                0.50326,                0.29715,                 1.3095,                0.89181,                 1.2606,             9.9101e-05,             9.9101e-05,             9.9101e-05
