                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                  0.841,                0.69701,                 1.1416,                0.57137,                0.35937,                0.34655,                0.23412,                 1.2063,                0.84858,                 1.2147,             0.00067104,             0.00067104,             0.00067104
                     62,                0.86711,                 0.6873,                  1.151,                0.63133,                0.36575,                0.35021,                0.23507,                 1.2391,                0.88061,                 1.2267,             0.00066371,             0.00066371,             0.00066371
                     63,                0.86893,                0.68985,                  1.159,                0.60202,                0.37283,                0.35634,                0.24447,                 1.1963,                0.84507,                 1.2024,             0.00065638,             0.00065638,             0.00065638
                     64,                 0.8402,                0.66871,                 1.1499,                0.58381,                0.38582,                0.34176,                0.23598,                 1.1391,                0.82192,                 1.1987,             0.00064905,             0.00064905,             0.00064905
                     65,                0.83281,                0.66786,                  1.134,                0.57176,                0.39066,                0.34521,                0.23088,                 1.2157,                0.89227,                 1.2176,             0.00064171,             0.00064171,             0.00064171
                     66,                0.87149,                0.68936,                 1.1434,                0.67428,                0.37735,                0.38939,                0.25157,                 1.1685,                0.80218,                 1.2068,             0.00063438,             0.00063438,             0.00063438
                     67,                0.86956,                0.69469,                  1.144,                0.58303,                0.39613,                0.36166,                0.24256,                 1.1932,                0.83112,                 1.2178,             0.00062705,             0.00062705,             0.00062705
                     68,                0.80845,                0.66662,                 1.1178,                 0.5803,                0.43645,                0.38182,                0.24926,                 1.1805,                0.86263,                 1.2049,             0.00061972,             0.00061972,             0.00061972
                     69,                0.86184,                0.68144,                 1.1455,                0.69539,                0.41024,                0.40105,                0.24916,                 1.2078,                0.81791,                 1.2052,             0.00061238,             0.00061238,             0.00061238
                     70,                 0.8501,                0.66467,                 1.1424,                0.63573,                 0.4241,                 0.3849,                0.24499,                 1.2347,                0.85475,                 1.2167,             0.00060505,             0.00060505,             0.00060505
